"Id";"Identificador";"Paquete";"Cantidad";"Identificación";"Suministrador y ref";
1;"J7,J10,J8,J9";"SolderWirePad_1x01_SMD_5x10mm";4;"Conn_01x01";;;
2;"J2";"PinSocket_1x02_P2.54mm_Vertical";1;"InL";;;
3;"J4,J3";"Jack_6.35mm_PJ_629HAN";2;"OutL";;;
4;"C6,C1,C5,C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";4;"10p";;;
5;"J5";"Jack_6.35mm_PJ_629HAN";1;"OutR";;;
6;"J1";"PinSocket_1x02_P2.54mm_Vertical";1;"InR";;;
7;"RV1,RV2";"PinSocket_2x03_P2.54mm_Vertical";2;"100k";;;
8;"D1,D2";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N5819";;;
9;"J6";"IDC-Header_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
10;"R11,R9,R19,R20";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"1k";;;
11;"R14,R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"2k5";;;
12;"U4,U3";"DIP-8_W7.62mm_Socket";2;"LM386";;;
13;"C11,C18,C17,C12,C8,C16,C7,C15,C10,C9";"C_Disc_D5.0mm_W2.5mm_P5.00mm";10;"100n";;;
14;"R17,R18";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"10";;;
15;"R7,R5,R6,R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"10k";;;
16;"U2";"DIP-8_W7.62mm_Socket";1;"TL072";;;
17;"C13,C14";"CP_Radial_D5.0mm_P2.00mm";2;"C_Polarized_Small_US";;;
18;"R4,R1,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"100k";;;
19;"R15,R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"1k35";;;
20;"C4,C3";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"10u";;;
21;"R10,R12";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"250k";;;
22;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100K";;;
23;"U1";"DIP-14_W7.62mm_Socket";1;"TL074";;;
24;"C19,C20";"CP_Radial_D4.0mm_P2.00mm";2;"CP1";;;
